,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300
mp-10103,,,,,,,,,,,,,,,,,,,,,,,
mp-1019555,,,,,,,,,,,,,,,,,,,,,,,
mp-1019615,,,,,,,,,,,,,,,,,,,,,,,
mp-1020013,,,,,,,,,,,,,,,,,,,,,,,
mp-1020015,,,,,,,,,,,7.473e-06,1.268e-05,1.702e-05,4.923e-05,,,,,,,,,
mp-1020016,,,,,,,,,,,,1.757e-06,6.589e-06,1.577e-05,,,,,,,,,
mp-1020019,,,,,,,,,,,,,,,,2.511e-06,9.196e-06,1.931e-05,3.434e-05,4.399e-05,6.563e-05,9.935e-05,0.0001022
mp-1020023,,,,,,,,,,,,,,,,,,3.259e-06,5.537e-06,5.853e-06,1.006e-05,2.374e-05,
mp-1020024,,,,,,,,,,,4.076e-06,3.691e-05,,,,,,,,,,,
mp-1020031,,,,,,,,,,,,,,,,,,2.596e-06,,5.786e-06,9.197e-06,1.346e-05,1.674e-05
mp-1020059,,,,,,,,,,,,,,,,,,,,,,,
mp-1020592,,,,,,,,,,,,,,,,,,,,,,,
mp-1020620,,,,,,,,,,,,,3.937e-06,4.66e-06,,,,,,,,,
mp-1020627,,,,,,,,,,,,,,,,,,,,,,,
mp-1020646,,,,,,,,,2.199e-06,5.163e-06,1.145e-05,6.893e-06,2.03e-05,,,,,,,,,,
mp-1020664,,,,,,,,,,,,,,4.842e-06,7.449e-06,,,,,,,,
mp-1029297,,,,,,,,,,,,,,,,,,,1.852e-05,6.474e-06,,,
mp-1029385,,,,,,,,,,,6.306e-06,1.248e-05,2.152e-05,3.122e-05,4.244e-05,5.204e-05,5.876e-05,6.704e-05,7.904e-05,8.583e-05,9.432e-05,9.847e-05,
mp-1029562,,,,,,,,,,,,1.14e-05,,,,,,,,,,,
mp-1029592,,,,,,,,,,,,,4.317e-06,8.419e-06,1.308e-05,2.056e-05,4.49e-05,,,,,,
