,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300
mp-10103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.821e-06,,,,,,
mp-10182,0.0,0.0,0.0,0.0,0.0,2.151e-05,3.602e-05,,,,,,,,,,,,,,,
mp-10250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mp-10251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.712e-06,2.685e-06,1.055e-05,1.171e-05,1.327e-05,1.488e-05,2.199e-05,1.918e-05,3.1e-05,3.317e-05,3.76e-05
mp-10485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.298e-06,3.287e-06,5.726e-06,8.169e-05,0.0001038,,,,,,,,,
mp-10499,0.0,0.0,0.0,3.811e-06,1.638e-05,2.177e-05,3.387e-05,6.198e-05,6.581e-05,9.809e-05,0.0001155,0.0001426,0.0001481,0.0001725,0.0002006,0.000226,0.0002373,0.0002585,0.0002744,0.0002925,0.000293,0.0003273
mp-10517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.979e-06,2e-05,2.409e-05,3.695e-05,4.824e-05,4.869e-05,6.805e-05,6.822e-05,8.972e-05,0.000111,0.0001073,9.942e-05,0.0001252
mp-10520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.979e-06,6.009e-06,1.127e-05,1.914e-05,4.926e-05,5.759e-05,8.799e-05,0.0001004,0.0001083,0.0001269
mp-10555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.988e-07,1.264e-06,1.248e-05,1.725e-05,,,,,,
mp-10556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.896e-06,0.0,1.039e-05,,,
mp-10615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.759e-06,5.136e-05,6.485e-05,,,,,,,,,
